seed,split,metric,lower,upper
2025,training,accuracy,1.0,1.0
2025,training,ppv,1.0,1.0
2025,training,npv,1.0,1.0
2025,training,sensitivity,1.0,1.0
2025,training,specificity,1.0,1.0
2025,validation,accuracy,0.9712070084540655,0.9984451953752164
2025,validation,ppv,0.9951338944130521,1.0
2025,validation,npv,0.9460921614714497,0.9989354696184376
2025,validation,sensitivity,0.9428475422427035,0.9988972902304685
2025,validation,specificity,0.9954829438008336,1.0
2025,test,accuracy,0.48764524363514594,0.5617046009542535
2025,test,ppv,0.4865613659073809,0.5760473325532856
2025,test,npv,0.46948826664871585,0.578443745463785
2025,test,sensitivity,0.3418525499105353,0.5308269873648459
2025,test,specificity,0.5503484620371307,0.6833625024222583
2026,training,accuracy,0.9996781754662097,1.0
2026,training,ppv,0.9993201090853031,1.0
2026,training,npv,1.0,1.0
2026,training,sensitivity,1.0,1.0
2026,training,specificity,0.9993407933482101,1.0
2026,validation,accuracy,0.9782324194333092,0.9978402455762557
2026,validation,ppv,0.9905770107714508,1.0
2026,validation,npv,0.9603416253613011,0.9982102099898323
2026,validation,sensitivity,0.9598659155823548,0.9982239321311661
2026,validation,specificity,0.991077101410947,1.0
2026,test,accuracy,0.4767831985551202,0.5513381814233652
2026,test,ppv,0.47696756616110053,0.5617026564896261
2026,test,npv,0.459374457099882,0.5651060093846824
2026,test,sensitivity,0.32200602587016974,0.5087631048963619
2026,test,specificity,0.5485943027416841,0.6794248170231206
2027,training,accuracy,0.9985983996543065,0.9998999048999049
2027,training,ppv,0.9971621141424064,0.9998194953992456
2027,training,npv,1.0,1.0
2027,training,sensitivity,1.0,1.0
2027,training,specificity,0.997120119955915,0.9998062559367101
2027,validation,accuracy,0.9828548701674757,0.9971250409562376
2027,validation,ppv,0.981319693778374,0.9988784824799991
2027,validation,npv,0.9761877828054298,0.998787933784304
2027,validation,sensitivity,0.974966307277628,0.9987303678627637
2027,validation,specificity,0.9826279411590926,0.9988304435153305
2027,test,accuracy,0.4779717032425133,0.5496430944713057
2027,test,ppv,0.4729905084411579,0.559357305277708
2027,test,npv,0.45939650511276886,0.5689538876843213
2027,test,sensitivity,0.34028160114998685,0.5283745197043116
2027,test,specificity,0.529108191399925,0.6624670183828657
